"region_city","city_name","habitantes","cnae_secao","cnae_divisao","cnae_grupo","cnae_classe","cnae_subclasse","pct_cnae_secao","pct_cnae_divisao","pct_cnae_grupo","pct_cnae_classe","pct_cnae_subclasse"
"2035",IMACULADA,11819,16,40,64,88,104,0.76190476190476190476,0.45977011494252873563,0.22456140350877192982,0.13075780089153046062,0.07825432656132430399
"4557",GRUPIARA,1388,18,43,65,87,104,0.85714285714285714286,0.49425287356321839080,0.22807017543859649123,0.12927191679049034175,0.07825432656132430399
"1092",RONDOLANDIA,4001,18,34,62,82,104,0.85714285714285714286,0.39080459770114942529,0.21754385964912280702,0.12184249628528974740,0.07825432656132430399
"5495",PINHAL DE SAO BENTO,2731,17,35,60,83,104,0.80952380952380952381,0.40229885057471264368,0.21052631578947368421,0.12332838038632986627,0.07825432656132430399
"1142",FORQUETINHA,2412,17,38,66,84,104,0.80952380952380952381,0.43678160919540229885,0.23157894736842105263,0.12481426448736998514,0.07825432656132430399
"1083",FRANCISCO SANTOS,9319,16,35,64,91,104,0.76190476190476190476,0.40229885057471264368,0.22456140350877192982,0.13521545319465081724,0.07825432656132430399
"2177",SANTA TERESINHA,4573,15,40,70,93,104,0.71428571428571428571,0.45977011494252873563,0.24561403508771929825,0.13818722139673105498,0.07825432656132430399
"115",SANTO AFONSO,3146,15,34,62,86,104,0.71428571428571428571,0.39080459770114942529,0.21754385964912280702,0.12778603268945022288,0.07825432656132430399
"185",PALMEIRAS DO TOCANTINS,6658,18,39,62,84,104,0.85714285714285714286,0.44827586206896551724,0.21754385964912280702,0.12481426448736998514,0.07825432656132430399
"6047",LINHA NOVA,1714,14,37,59,82,104,0.66666666666666666667,0.42528735632183908046,0.20701754385964912281,0.12184249628528974740,0.07825432656132430399
"2855",ROTEIRO,6664,15,35,57,83,103,0.71428571428571428571,0.40229885057471264368,0.20000000000000000000,0.12332838038632986627,0.07750188111361926260
"330",JUAZEIRO DO PIAUI,5478,17,36,59,85,103,0.80952380952380952381,0.41379310344827586207,0.20701754385964912281,0.12630014858841010401,0.07750188111361926260
"1751",FRUTUOSO GOMES,4068,15,36,56,80,103,0.71428571428571428571,0.41379310344827586207,0.19649122807017543860,0.11887072808320950966,0.07750188111361926260
"9603",SAO SEBASTIAO DO TOCANTINS,4805,18,38,64,83,103,0.85714285714285714286,0.43678160919540229885,0.22456140350877192982,0.12332838038632986627,0.07750188111361926260
"9723",PORTO ALEGRE DO TOCANTINS,3139,17,38,67,90,103,0.80952380952380952381,0.43678160919540229885,0.23508771929824561404,0.13372956909361069837,0.07750188111361926260
"450",ASSUNCAO,3990,16,33,56,81,103,0.76190476190476190476,0.37931034482758620690,0.19649122807017543860,0.12035661218424962853,0.07750188111361926260
"9203",AGUA LIMPA,1850,17,36,61,86,103,0.80952380952380952381,0.41379310344827586207,0.21403508771929824561,0.12778603268945022288,0.07750188111361926260
"3149",GARARU,11604,15,33,57,83,103,0.71428571428571428571,0.37931034482758620690,0.20000000000000000000,0.12332838038632986627,0.07750188111361926260
"680",PATIS,5972,15,32,58,84,103,0.71428571428571428571,0.36781609195402298851,0.20350877192982456140,0.12481426448736998514,0.07750188111361926260
"8491",ANDRE DA ROCHA,1333,17,36,62,85,103,0.80952380952380952381,0.41379310344827586207,0.21754385964912280702,0.12630014858841010401,0.07750188111361926260
"848",CRUZMALTINA,2950,17,30,58,83,103,0.80952380952380952381,0.34482758620689655172,0.20350877192982456140,0.12332838038632986627,0.07750188111361926260
"226",SANTO AMARO DO MARANHAO,15846,15,35,58,84,103,0.71428571428571428571,0.40229885057471264368,0.20350877192982456140,0.12481426448736998514,0.07750188111361926260
"5485",IRACEMA DO OESTE,2288,16,37,61,88,103,0.76190476190476190476,0.42528735632183908046,0.21403508771929824561,0.13075780089153046062,0.07750188111361926260
"3015",NOVO TRIUNFO,15440,15,32,55,84,103,0.71428571428571428571,0.36781609195402298851,0.19298245614035087719,0.12481426448736998514,0.07750188111361926260
"2091",MONTADAS,5669,15,31,56,78,103,0.71428571428571428571,0.35632183908045977011,0.19649122807017543860,0.11589895988112927192,0.07750188111361926260
"3143",FEIRA NOVA,5584,16,35,54,84,102,0.76190476190476190476,0.40229885057471264368,0.18947368421052631579,0.12481426448736998514,0.07674943566591422122
"626",IMBE DE MINAS,6903,15,29,56,80,102,0.71428571428571428571,0.33333333333333333333,0.19649122807017543860,0.11887072808320950966,0.07674943566591422122
"1943",BOA VENTURA,5366,15,37,61,86,102,0.71428571428571428571,0.42528735632183908046,0.21403508771929824561,0.12778603268945022288,0.07674943566591422122
